,sequence,session_id,speaker,content,Human,AI,Utterance ID
35621,19503,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Of zeros,,,137
35622,19504,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,We have multiple zeros,,,138
35623,19505,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,We have multiple zeros that are equal,,,139
35624,19506,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,We have more we have multiplicity,,,140
35625,19507,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Anytime that we have a exponent here weve got multiplicity,,,141
35626,19508,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,We have multiple roots factors Xintercepts that are identical,,,142
35627,19509,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What happens if its an even number,Pressing for Accuracy,Pressing for Accuracy,143
35628,19510,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,It bounces off,,,144
35629,19511,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,It bounces off,Restating,Restating,145
35630,19512,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Were making that connection here,,,146
35631,19513,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Now some of you during the quiz had asked me is it okay that we just draw these turning points in wherever,,,147
35632,19514,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,If I know that thats a Yintercept and thats a Xintercept could I just come up here and come down there,Keeping Everyone Together,Pressing for Reasoning,148
35633,19515,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Or could I come up way high and come down through that there,Keeping Everyone Together,Pressing for Reasoning,149
35634,19516,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,We didnt talk about how just figure out the shape that goes in between those Xintercepts,,,150
35635,19517,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Now whats the simple solution,Pressing for Accuracy,Pressing for Accuracy,151
35636,19518,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Plotting points,,,152
35637,19519,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Yes,,,153
35638,19519,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Yes,Keeping Everyone Together,,154
35641,19520,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Pick a couple of points in between,,Revoicing,155
35642,19521,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,If I know that those are my two Xintercepts lets pick up enough points that we can characterize what that curve looks like to be more accurate,,Revoicing,156
35643,19522,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,All right weve talked about end behavior a lot,,,157
35644,19523,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Brad what do we look for with regards to end behavior,,Pressing for Accuracy,158
35645,19524,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What tells us what end behavior is,Pressing for Accuracy,Pressing for Accuracy,159
35646,19525,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,If its going up and down,,,160
35647,19526,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Up and down,Restating,Restating,161
35648,19527,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What would I look at in this to tell me about my end behavior,Pressing for Accuracy,Pressing for Accuracy,162
35649,19528,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,If the X value is positive,,,163
35650,19529,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Tell me how I figure out that the X value is positive,Pressing for Accuracy,Pressing for Reasoning,164
35651,19530,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,The leading coefficient,,,165
35652,19531,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Theres my leading coefficient,Revoicing,Revoicing,166
35653,19532,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,If I multiply this times this times this because theres two I still have a positive leading coefficient,,,167
35654,19533,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Andy whats the positive leading coefficient tell me,Pressing for Accuracy,Pressing for Reasoning,168
35655,19534,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Onesixth,,,169
35656,19535,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Yes the one six,Revoicing,Revoicing,170
35657,19536,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What does that tell me,Pressing for Accuracy,Pressing for Reasoning,171
35658,19537,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,It tells you that its going to be straight on the vertical,,,172
35659,19538,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Okay so how about the end behavior,Pressing for Accuracy,Pressing for Reasoning,173
35660,19539,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,How does that tell me about end behavior end behavior,Pressing for Accuracy,Pressing for Reasoning,174
35661,19540,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Think about that,,,175
35662,19541,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,At the ends you think,,,176
35663,19542,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,infinity,,,177
35664,19543,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Okay lets just take that first statement as X does what,Pressing for Accuracy,Pressing for Accuracy,178
35665,19544,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,As X goes towards infinity whats happening to Y,Pressing for Accuracy,Pressing for Reasoning,179
35666,19545,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,You cant really go towards a number that doesnt exist because its,,,180
35667,19546,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Sure you can,,,181
35668,19547,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,You just keep going,,,182
35669,19548,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Because its just a little bit bigger and just a little bigger and just a little bigger,,,183
35670,19549,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Youre not getting any closer to it though,,,184
35671,19550,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Youre still going for towards it,,,185
35672,19551,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,It does tell you about direction,,,186
35673,19552,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,It goes infinitely,,,187
35674,19553,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What would the next statement then be Ethan,Pressing for Accuracy,Pressing for Accuracy,188
35675,19554,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,As X goes towards negative,,,189
35676,19555,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Why dont you just say as X decreases Y increases,,,190
35677,19556,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Thats a specific format for end behavior,,,191
35678,19557,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,It is yes,,,192
35679,19558,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,In fact if you look in the textbook youll see that they use that format over and over to talk about end behavior,Revoicing,,193
35680,19559,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,You see its looking kind of like this,,,194
35681,19560,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,This is what I would like you to talk about,,,195
35682,19561,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,In your teams take a look at everybody knows goes and youre going to be the starter for this,,,196
35683,19562,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Youll take that first bullet and just answer them and then just go around your team taking each of those and answer it,,,197
35684,19563,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Go ahead and get started,,,198
35685,19564,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,What caused Y to be zero,Pressing for Accuracy,Pressing for Reasoning,199
35686,19565,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Those are my Xintercepts,,,200
35687,19566,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Because I have 2 I have X2 and X2,,,201
35688,19567,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,I have the solutions 3 two and two,,,202
35689,19568,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Its repeated,,,203
35690,19569,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,So theres a different characteristic here,,,204
35691,19570,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Were bouncing off the Xaxis with an even value and itll go through if its odd,,,205
35692,19571,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,All right so most of us are in groups of four,,,206
35693,19572,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Those of you that arent you have to adjust,,,207
35694,19573,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,I want each of you to take in one of these and walk through all of the sentence steps,,,208
35695,19574,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Right so youre going to take turns,,,209
35696,19575,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Somebody can just choose to start with number one and talk about all of those and so give that person feedback,,Getting Students to Relate to Another's Ideas,210
35697,19576,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Are they on track,Getting Students to Relate to Another's Ideas,,211
35698,19577,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Do they need some coaching to change the answer here,Getting Students to Relate to Another's Ideas,,212
35699,19578,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Go ahead and decide who starts this is important,,,213
35700,19579,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Im really sorry for being annoying,,,214
35701,19580,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,All right ladies and gentlemen any questions on these,Keeping Everyone Together,,215
35702,19581,TalkBack.Year1.Saunders.Spring.020720.xlsx,S,Is there any way you can,,,216
35703,19582,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,From these whats always true about the Yintercept,Pressing for Accuracy,Pressing for Accuracy,217
35704,19583,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,In other words 12x1x4x4,,,218
35705,19584,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Theyve gotten rid of the square,,,219
35706,19585,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,All right well pick up on Monday  finishing this,,,220
35707,19586,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,Also do 39 on Monday,,,221
35708,19587,TalkBack.Year1.Saunders.Spring.020720.xlsx,T,If you would please turn off the microphones but leave them in the book,,,222
35709,19588,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right so for heres the scoop for today so for the first half of class were going to be working on finishing 38 this is where we left off on Friday and got just a few things to show you in that and then also show you one particular skill out of 39 that we need and then well take a short break during the passing period and start the quiz afterward and it is an individual quiz,,,0
35710,19589,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,There will be no calculator but you can use your toolkit,,,1
35711,19590,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thats the scoop for today any questions on that,Keeping Everyone Together,,2
35712,19591,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Yes its quite a scoop,,,3
35713,19592,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Its a good scoop,,,4
35714,19593,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Okay so this is yes,,,5
35715,19594,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,On your switch,,,6
35716,19595,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Yes,,,7
35717,19596,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Whats your switch,,,8
35718,19597,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,If you can show me if we could stamp off all of your toolkits then Ill be happy,,,9
35719,19598,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,My toolkit is not done,,,10
35720,19599,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Theres still one loophole she uses so,,,11
35721,19600,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Alright guys Im going to send you a video youre going to like,,,12
35722,19601,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Yes,,,13
35723,19602,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Yes all right yes,,,14
35724,19603,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Thats the,,,15
35725,19604,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Yes were like this,,,16
35726,19605,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,I dont,,,17
35727,19606,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Hey would we have the reminder weekly test,,,18
35728,19607,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Okay done with this and mine,,,19
35729,19608,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Yes I dont know if its,,,20
35730,19609,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,The question was about the review so the review is out of the textbook and you should have access to it today online but you always have it in the book to be looking at,,,21
35731,19610,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,If you look at the book it has examples and then the problems,,,22
35732,19611,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,It refreshes your memory on how to do those problems,,,23
35733,19612,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,I did eliminate several of the problems from the review because youre not responsible for those so not every problem from the review is there but most of the problem I think its might be 32 of them or something like that,,,24
35734,19613,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,For the quiz is it just like 38 or is it like the cumulative like that,,,25
35735,19614,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Its a wee bit cumulative so the primary emphasis is why Im factoring and solving but theres a little vocabulary stuff in there,,,26
35736,19615,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,I think its 12,,,27
35737,19616,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Squeaky key,,,28
35738,19617,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right so lets refresh our memory on the sentence stems that we used last Friday and I am going to have you work in your teams with this but were not going to change our desks were going to keep the desks like this or just have you turn around in your chairs and so person number one this is your formula and so thats like Brad then Tobias you have two and then three and four,,,29
35739,19618,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,You dont have to answer them in that order so for example if person four says Im ready to go,,,30
35740,19619,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,That person can start and what you need to do as youre listening to your teammates is making sure that theyre understanding correctly all of this stuff,,Keeping Everyone Together,31
35741,19620,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Now why does this become important,Pressing for Reasoning,Pressing for Reasoning,32
35742,19621,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Its if you were asked to graph this this is part of not only your thought process but what you have to do at the end when youre looking at your graph and youre looking at the equation and going Do they match,,,33
35743,19622,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,These are some of the ideas you need to put together for graphing as well,,,34
35744,19623,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,When youre done Im going to have your team stand up that way Ill know that your team is done,,,35
35745,19624,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Like I said it doesnt matter who starts but go through all of these recognize that like for this bullet therere two choices,,,36
35746,19625,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Then notice that I want you to be able to explain why you came up with that answer or how you came up with it whats your strategy,Pressing for Accuracy,Pressing for Reasoning,37
35747,19626,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Right so go ahead and turn in your groups and whoever wants to start can go ahead and get going,Keeping Everyone Together,,38
35748,19627,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,As F of X heads towards negative infinity F of X will decrease,,,39
35749,19628,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,So well say it moves towards negative infinity,,,40
35750,19629,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Did you give it a go,,,41
35751,19630,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,You should try Grady,,,42
35752,19631,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,So what did you find as the degree of this,,,43
35753,19632,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,by multiplying this by this by this squared  Think about what is the degree,,,44
35754,19633,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Were done,,,45
35755,19634,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Oh are you guys done,Keeping Everyone Together,,46
35756,19635,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,stand up if youre done stand up,Keeping Everyone Together,,47
35757,19636,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Ill give you guys one more minute,,,48
35758,19637,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right guys open your journals to page 98,,,49
35759,19638,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right guys page 98,,,50
35760,19639,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Location principle,,,51
35761,19640,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,The location principle go ahead Colin tell us what it is,Keeping Everyone Together,Pressing for Accuracy,52
35762,19641,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,It acts as a polynomial function and A and B are two real numbers such that FMA is less than zero and that would be as greater than zero that F has at least one real zero between A and B,,,53
35763,19642,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thats a lot of math talk for something thats pretty simple were saying that in this particular case our Yvalue is greater than zero so Y is,Pressing for Accuracy,Revoicing,54
35764,19643,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Positive,,,55
35765,19644,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,If Y is positive that would be up here anything near this pink range is a positive Yvalue,Revoicing,,56
35766,19645,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Ive got some Bvalue and a Y this point could be anywhere in this pink area then the same thing is true over here Y is less than zero so Y is,Pressing for Accuracy,Pressing for Accuracy,57
35767,19646,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,A negative,,,58
35768,19647,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,And its anywhere in here if I have those two and its a connected polynomial I know that there is an Xintercept in between those two numbers thats as sophisticated as that gets,,,59
35769,19648,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,The wording is tough to work through but the picture makes sense hopefully,,,60
35770,19649,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Anybody have a question on that or need to hear somebody else explain it,Keeping Everyone Together,Keeping Everyone Together,61
35771,19650,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,To summarize this segment theres one point between A and B thats where Y is zero,,,62
35772,19651,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Yes makes  sense,,,63
35773,19652,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Oh thats hard to see that theres a zero,,,64
35774,19653,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right moving a long if we were using a graphing calculator and we have a Y and a Y what would have to be true in between,Pressing for Accuracy,Pressing for Accuracy,65
35775,19654,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thered have to be a zero somewhere in there so that means theres an Xintercept at onepointsomething in this particular case,,,66
35776,19655,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Again this is just more about being able to analyze graphs,,,67
35777,19656,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Since were not using calculators on the test Im not going to spend much more time on this but you get the concept and thats all I really want to expose you to is that concept,,,68
35778,19657,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Then the next concept is turning points all right if you look at just the brown the first statement thats there Christian oh you just took a bite,,,69
35779,19658,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Cooper could you read number one for me please,Keeping Everyone Together,,70
35780,19659,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,The graph of every polynomial function of degree N has at most N1 turning points,,,71
35781,19660,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,The graph of every polynomial function of degree N if I look here whats the degree of this one,Pressing for Accuracy,Pressing for Accuracy,72
35782,19661,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Three,,,73
35783,19662,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,What would 31 be,Pressing for Accuracy,Pressing for Accuracy,74
35784,19663,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Two,,,75
35785,19664,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Two,,,76
35786,19665,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,It has two,Pressing for Accuracy,Revoicing,77
35787,19666,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Turning points,,,78
35788,19667,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thats all this is saying what could the degree of this one be,Pressing for Accuracy,Pressing for Accuracy,79
35789,19668,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Four,,,80
35790,19669,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Four could be more than that but basically four so 41 is,Pressing for Accuracy,Pressing for Accuracy,81
35791,19670,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Three,,,82
35792,19671,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,One two three turning points,Revoicing,Revoicing,83
35793,19672,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,I like this,,,84
35794,19673,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Or local min and max this would be a local minimum and I have another local minimum,,,85
35795,19674,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,In this location I have a minimum and in this location Ive got a minimum as well so we use that term local minimum then over here we have one two three four five,,,86
35796,19675,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Quintic,,,87
35797,19676,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Quintic 51 one two three four turning points and the reason it says at most was because remember something like this could actually look like that,Revoicing,Revoicing,88
35798,19677,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,It could still be Quintic,,,89
35799,19678,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,And still be Quintic,Revoicing,Revoicing,90
35800,19679,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,I was going to say couldnt it actually be more than Quantic though couldnt be sextic,,,91
35801,19680,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,It could,,,92
35802,19681,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Yes and you have the right idea that its got to be an odd number because its going in different directions,,,93
35803,19682,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Because your sign is there based on what you have,,,94
35804,19683,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thats why you could have any degree,,,95
35805,19684,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Thats the first part of these turning points of polynomial equations,,,96
35806,19685,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Brad could you read number two for us,Keeping Everyone Together,,97
35807,19686,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,If a polynomial equation has N,,,98
35808,19687,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Okay so were talking about zeros,,,99
35809,19688,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Zeros means,Pressing for Accuracy,Pressing for Accuracy,100
35810,19689,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Xintercept,,,101
35811,19690,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,X intercepts,Restating,Revoicing,102
35812,19691,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,I have one two three Xintercepts,,,103
35813,19692,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,I have three minus one or two turning points,,,104
35814,19693,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,So up here we were looking at the degree of the polynomial,,,105
35815,19694,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Here Im looking at the Xintercepts the zeros the roots the solution kind of thing and so I see one two three four Xintercepts and I have one two three one less,,,106
35816,19695,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,One two three four five Xintercepts,,,107
35817,19696,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,How many turning points we have for,Pressing for Accuracy,Pressing for Accuracy,108
35818,19697,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,S,Those two go hand in hand because the degree determines,,,109
35819,19698,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,It also depends though where this polynomial function is,,,110
35820,19699,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,It could be that actually all my turns are up here and I only have one and thats why you see the word exactly for this particular one cause weve counted the number of Xintercept versus at most that particular number of turning points,,,111
35821,19700,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Whats in Italics right there also becomes important,,,112
35822,19701,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Any questions on this,Keeping Everyone Together,,113
35823,19702,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Again more conceptual understanding seeing relationships of polynomial equations and graphs and well skip over these,,,114
35824,19703,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,This is one that were going to do a little bit of work on and thats something called even and odd function,,,115
35825,19704,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Now dont confuse that with even and on degree,,,116
35826,19705,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Were still saying even and odd but its about either the degree that weve talked a lot about or in this case even or odd functions,,,117
35827,19706,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,You got to key in on that particular word and the even or odd degree,,,118
35828,19707,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,No thats not what were talking about here,,,119
35829,19708,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,What were talking about is an even function is symmetrical about the Yaxis,,,120
35830,19709,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,In other words if I took my graph and folded it right here on the Yaxis it would lay on top of each other,,,121
35831,19710,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Then an odd function is symmetrical about the origin,,,122
35832,19711,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,In other words if I took my curve and pinned it down right there and spun it 180 degrees it ended up laying on top of itself again,,,123
35833,19712,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,All right so two types of cemetery about the Yaxis if this is true well explain that in just a minute or about the origin if this is true,,,124
35834,19713,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,What we do mathematically notice that they both start with exactly the same thing,,,125
35835,19714,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Were going to plug in a negative X and then were going to manipulate it and see if I end up with my original function or I end up with the opposite of the original function,,,126
35836,19715,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,If I end up with something else then its neither an odd function or an even function,,,127
35837,19716,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,So what does that look like,Pressing for Accuracy,,128
35838,19717,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,If you want to turn in your text or just follow along on the screen here either will find youd be in the texts at page 171,,,129
35839,19718,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,This is our first one,,,130
35840,19719,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,I remember no matter what were testing we just plug in a negative X so every place that I see an X I put a parentheses,,,131
35841,19720,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Theres an X with the cube outside of it so thats what I do just the X but parentheses with the negative X in it,,,132
35842,19721,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Then the parentheses with the negative X here,,,133
35843,19722,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Then I got to do a little math,,,134
35844,19723,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Whats negative X times negative X times negative X going to be,Pressing for Accuracy,Pressing for Accuracy,135
35845,19724,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Its going to be negative,,,136
35846,19725,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Cause right,Keeping Everyone Together,,137
35847,19726,TalkBack.Year1.Saunders.Spring.021020-1.xlsx,T,Im multiplying by three times itll still be a XQ,,,138
